publisher,publication_date,query,count,proportion
AFP,1991-05-31,total,4819.0,
AFP,1991-05-31,insect_population,0.0,0.0
AFP,1991-05-31,insect_decline,0.0,0.0
AFP,1991-05-31,pollinator_population,0.0,0.0
AFP,1991-05-31,pollinator_decline,0.0,0.0
AFP,1991-05-31,insect_apocalypse,0.0,0.0
AFP,1991-05-31,colony_collapse,0.0,0.0
AFP,1991-05-31,climate_change,2.0,0.0004150238638721727
AFP,1991-05-31,climate_change_IPCCreport,0.0,0.0
AFP,1991-05-31,insect_population_studies,0.0,0.0
AFP,1991-06-30,total,6451.0,
AFP,1991-06-30,insect_population,0.0,0.0
AFP,1991-06-30,insect_decline,0.0,0.0
AFP,1991-06-30,pollinator_population,0.0,0.0
AFP,1991-06-30,pollinator_decline,0.0,0.0
AFP,1991-06-30,insect_apocalypse,0.0,0.0
AFP,1991-06-30,colony_collapse,0.0,0.0
AFP,1991-06-30,climate_change,8.0,0.0012401178111920632
AFP,1991-06-30,climate_change_IPCCreport,0.0,0.0
AFP,1991-06-30,insect_population_studies,0.0,0.0
AFP,1991-07-31,total,6595.0,
AFP,1991-07-31,insect_population,0.0,0.0
AFP,1991-07-31,insect_decline,0.0,0.0
AFP,1991-07-31,pollinator_population,0.0,0.0
AFP,1991-07-31,pollinator_decline,0.0,0.0
AFP,1991-07-31,insect_apocalypse,0.0,0.0
AFP,1991-07-31,colony_collapse,0.0,0.0
AFP,1991-07-31,climate_change,5.0,0.000758150113722517
AFP,1991-07-31,climate_change_IPCCreport,0.0,0.0
AFP,1991-07-31,insect_population_studies,0.0,0.0
AFP,1991-08-31,total,6540.0,
AFP,1991-08-31,insect_population,0.0,0.0
AFP,1991-08-31,insect_decline,0.0,0.0
AFP,1991-08-31,pollinator_population,0.0,0.0
AFP,1991-08-31,pollinator_decline,0.0,0.0
AFP,1991-08-31,insect_apocalypse,0.0,0.0
AFP,1991-08-31,colony_collapse,0.0,0.0
AFP,1991-08-31,climate_change,5.0,0.0007645259938837921
AFP,1991-08-31,climate_change_IPCCreport,0.0,0.0
AFP,1991-08-31,insect_population_studies,0.0,0.0
AFP,1991-09-30,total,6599.0,
AFP,1991-09-30,insect_population,0.0,0.0
AFP,1991-09-30,insect_decline,0.0,0.0
AFP,1991-09-30,pollinator_population,0.0,0.0
AFP,1991-09-30,pollinator_decline,0.0,0.0
AFP,1991-09-30,insect_apocalypse,0.0,0.0
AFP,1991-09-30,colony_collapse,0.0,0.0
AFP,1991-09-30,climate_change,7.0,0.0010607667828458857
AFP,1991-09-30,climate_change_IPCCreport,0.0,0.0
AFP,1991-09-30,insect_population_studies,0.0,0.0
AFP,1991-10-31,total,7588.0,
AFP,1991-10-31,insect_population,0.0,0.0
AFP,1991-10-31,insect_decline,0.0,0.0
AFP,1991-10-31,pollinator_population,0.0,0.0
AFP,1991-10-31,pollinator_decline,0.0,0.0
AFP,1991-10-31,insect_apocalypse,0.0,0.0
AFP,1991-10-31,colony_collapse,0.0,0.0
AFP,1991-10-31,climate_change,5.0,0.0006589351607801792
AFP,1991-10-31,climate_change_IPCCreport,0.0,0.0
AFP,1991-10-31,insect_population_studies,0.0,0.0
AFP,1991-11-30,total,7499.0,
AFP,1991-11-30,insect_population,0.0,0.0
AFP,1991-11-30,insect_decline,0.0,0.0
AFP,1991-11-30,pollinator_population,0.0,0.0
AFP,1991-11-30,pollinator_decline,0.0,0.0
AFP,1991-11-30,insect_apocalypse,0.0,0.0
AFP,1991-11-30,colony_collapse,0.0,0.0
AFP,1991-11-30,climate_change,4.0,0.0005334044539271903
AFP,1991-11-30,climate_change_IPCCreport,0.0,0.0
AFP,1991-11-30,insect_population_studies,0.0,0.0
AFP,1991-12-31,total,6504.0,
AFP,1991-12-31,insect_population,0.0,0.0
AFP,1991-12-31,insect_decline,0.0,0.0
AFP,1991-12-31,pollinator_population,0.0,0.0
AFP,1991-12-31,pollinator_decline,0.0,0.0
AFP,1991-12-31,insect_apocalypse,0.0,0.0
AFP,1991-12-31,colony_collapse,0.0,0.0
AFP,1991-12-31,climate_change,9.0,0.0013837638376383763
AFP,1991-12-31,climate_change_IPCCreport,0.0,0.0
AFP,1991-12-31,insect_population_studies,0.0,0.0
AFP,1992-01-31,total,5263.0,
AFP,1992-01-31,insect_population,0.0,0.0
AFP,1992-01-31,insect_decline,0.0,0.0
AFP,1992-01-31,pollinator_population,0.0,0.0
AFP,1992-01-31,pollinator_decline,0.0,0.0
AFP,1992-01-31,insect_apocalypse,0.0,0.0
AFP,1992-01-31,colony_collapse,0.0,0.0
AFP,1992-01-31,climate_change,3.0,0.0005700171005130154
AFP,1992-01-31,climate_change_IPCCreport,0.0,0.0
AFP,1992-01-31,insect_population_studies,0.0,0.0
AFP,1992-02-29,total,0.0,
AFP,1992-02-29,insect_population,,
AFP,1992-02-29,insect_decline,,
AFP,1992-02-29,pollinator_population,,
AFP,1992-02-29,pollinator_decline,,
AFP,1992-02-29,insect_apocalypse,,
AFP,1992-02-29,colony_collapse,,
AFP,1992-02-29,climate_change,,
AFP,1992-02-29,climate_change_IPCCreport,,
AFP,1992-02-29,insect_population_studies,,
AFP,1992-03-31,total,0.0,
AFP,1992-03-31,insect_population,,
AFP,1992-03-31,insect_decline,,
AFP,1992-03-31,pollinator_population,,
AFP,1992-03-31,pollinator_decline,,
AFP,1992-03-31,insect_apocalypse,,
AFP,1992-03-31,colony_collapse,,
AFP,1992-03-31,climate_change,,
AFP,1992-03-31,climate_change_IPCCreport,,
AFP,1992-03-31,insect_population_studies,,
AFP,1992-04-30,total,7341.0,
AFP,1992-04-30,insect_population,0.0,0.0
AFP,1992-04-30,insect_decline,0.0,0.0
AFP,1992-04-30,pollinator_population,0.0,0.0
AFP,1992-04-30,pollinator_decline,0.0,0.0
AFP,1992-04-30,insect_apocalypse,0.0,0.0
AFP,1992-04-30,colony_collapse,0.0,0.0
AFP,1992-04-30,climate_change,17.0,0.0023157607955319437
AFP,1992-04-30,climate_change_IPCCreport,0.0,0.0
AFP,1992-04-30,insect_population_studies,0.0,0.0
AFP,1992-05-31,total,7837.0,
AFP,1992-05-31,insect_population,0.0,0.0
AFP,1992-05-31,insect_decline,0.0,0.0
AFP,1992-05-31,pollinator_population,0.0,0.0
AFP,1992-05-31,pollinator_decline,0.0,0.0
AFP,1992-05-31,insect_apocalypse,0.0,0.0
AFP,1992-05-31,colony_collapse,0.0,0.0
AFP,1992-05-31,climate_change,34.0,0.004338394793926247
AFP,1992-05-31,climate_change_IPCCreport,0.0,0.0
AFP,1992-05-31,insect_population_studies,0.0,0.0
AFP,1992-06-30,total,7850.0,
AFP,1992-06-30,insect_population,0.0,0.0
AFP,1992-06-30,insect_decline,0.0,0.0
AFP,1992-06-30,pollinator_population,0.0,0.0
AFP,1992-06-30,pollinator_decline,0.0,0.0
AFP,1992-06-30,insect_apocalypse,0.0,0.0
AFP,1992-06-30,colony_collapse,0.0,0.0
AFP,1992-06-30,climate_change,60.0,0.007643312101910828
